,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
51,,0.00455,https://api.spotify.com/v1/audio-analysis/6xfwKuYYqFLmUJuTqMotIj,0.521,232800.0,0.932,6xfwKuYYqFLmUJuTqMotIj,0.00914,11.0,0.286,-4.181,0.0,0.113,150.037,4.0,https://api.spotify.com/v1/tracks/6xfwKuYYqFLmUJuTqMotIj,audio_features,spotify:track:6xfwKuYYqFLmUJuTqMotIj,0.229
52,,0.00362,https://api.spotify.com/v1/audio-analysis/1O18K3V5Aj9jGux7VnKolj,0.459,243604.0,0.914,1O18K3V5Aj9jGux7VnKolj,0.426,7.0,0.176,-5.226,1.0,0.0613,149.693,4.0,https://api.spotify.com/v1/tracks/1O18K3V5Aj9jGux7VnKolj,audio_features,spotify:track:1O18K3V5Aj9jGux7VnKolj,0.177
53,,0.0961,https://api.spotify.com/v1/audio-analysis/5H7WGvLpbnoXG3YSEsJdp9,0.618,317667.0,0.761,5H7WGvLpbnoXG3YSEsJdp9,0.374,6.0,0.0812,-4.882,1.0,0.0872,150.051,4.0,https://api.spotify.com/v1/tracks/5H7WGvLpbnoXG3YSEsJdp9,audio_features,spotify:track:5H7WGvLpbnoXG3YSEsJdp9,0.167
54,,0.019,https://api.spotify.com/v1/audio-analysis/7BhquQ2CNv82Tzqk2kK8gx,0.645,213000.0,0.875,7BhquQ2CNv82Tzqk2kK8gx,0.238,7.0,0.364,-5.601,1.0,0.181,147.003,4.0,https://api.spotify.com/v1/tracks/7BhquQ2CNv82Tzqk2kK8gx,audio_features,spotify:track:7BhquQ2CNv82Tzqk2kK8gx,0.388
55,,0.00653,https://api.spotify.com/v1/audio-analysis/2fDNRGrwxlZ2ACR4PH425g,0.533,276800.0,0.961,2fDNRGrwxlZ2ACR4PH425g,0.0297,5.0,0.145,-3.094,0.0,0.179,149.971,4.0,https://api.spotify.com/v1/tracks/2fDNRGrwxlZ2ACR4PH425g,audio_features,spotify:track:2fDNRGrwxlZ2ACR4PH425g,0.404
56,,0.00331,https://api.spotify.com/v1/audio-analysis/2GFKIOHwpJXVk14xo4NTUE,0.391,240000.0,0.957,2GFKIOHwpJXVk14xo4NTUE,0.22,7.0,0.112,-2.51,1.0,0.0904,100.024,4.0,https://api.spotify.com/v1/tracks/2GFKIOHwpJXVk14xo4NTUE,audio_features,spotify:track:2GFKIOHwpJXVk14xo4NTUE,0.121
57,,0.00738,https://api.spotify.com/v1/audio-analysis/4wq9CPOiVPFJGYZi8h9njG,0.486,193008.0,0.975,4wq9CPOiVPFJGYZi8h9njG,0.0,0.0,0.0692,-2.532,1.0,0.28,149.963,4.0,https://api.spotify.com/v1/tracks/4wq9CPOiVPFJGYZi8h9njG,audio_features,spotify:track:4wq9CPOiVPFJGYZi8h9njG,0.343
58,,0.000499,https://api.spotify.com/v1/audio-analysis/2YVsc2QtOLlG8JtFY6CVWO,0.309,200898.0,0.774,2YVsc2QtOLlG8JtFY6CVWO,4.83e-05,4.0,0.589,-4.973,0.0,0.097,77.425,1.0,https://api.spotify.com/v1/tracks/2YVsc2QtOLlG8JtFY6CVWO,audio_features,spotify:track:2YVsc2QtOLlG8JtFY6CVWO,0.222
59,,0.493,https://api.spotify.com/v1/audio-analysis/5eacLGlDeiJHgDpoeWazVC,0.616,215667.0,0.928,5eacLGlDeiJHgDpoeWazVC,0.0,6.0,0.306,-3.106,0.0,0.119,90.0,4.0,https://api.spotify.com/v1/tracks/5eacLGlDeiJHgDpoeWazVC,audio_features,spotify:track:5eacLGlDeiJHgDpoeWazVC,0.268
60,,0.0031,https://api.spotify.com/v1/audio-analysis/4j9SD4ceWiMSAkN9ksdo9s,0.477,262387.0,0.904,4j9SD4ceWiMSAkN9ksdo9s,0.598,0.0,0.207,-7.558,0.0,0.054,149.976,4.0,https://api.spotify.com/v1/tracks/4j9SD4ceWiMSAkN9ksdo9s,audio_features,spotify:track:4j9SD4ceWiMSAkN9ksdo9s,0.274
61,,0.0339,https://api.spotify.com/v1/audio-analysis/6HyGe6sS0ofV1kJsSOUIF0,0.29,139217.0,0.835,6HyGe6sS0ofV1kJsSOUIF0,0.0527,7.0,0.22,-4.011,0.0,0.0483,150.259,4.0,https://api.spotify.com/v1/tracks/6HyGe6sS0ofV1kJsSOUIF0,audio_features,spotify:track:6HyGe6sS0ofV1kJsSOUIF0,0.148
62,,0.0573,https://api.spotify.com/v1/audio-analysis/29lbChCT9LCamqTZNCbiSH,0.509,173106.0,0.912,29lbChCT9LCamqTZNCbiSH,0.000992,7.0,0.128,-3.714,0.0,0.0588,150.003,4.0,https://api.spotify.com/v1/tracks/29lbChCT9LCamqTZNCbiSH,audio_features,spotify:track:29lbChCT9LCamqTZNCbiSH,0.443
63,,0.0918,https://api.spotify.com/v1/audio-analysis/5ri8VXBK6jwMJ1HJ6E8IvZ,0.631,395200.0,0.962,5ri8VXBK6jwMJ1HJ6E8IvZ,0.131,5.0,0.0718,-2.662,0.0,0.139,150.012,4.0,https://api.spotify.com/v1/tracks/5ri8VXBK6jwMJ1HJ6E8IvZ,audio_features,spotify:track:5ri8VXBK6jwMJ1HJ6E8IvZ,0.304
64,,0.0101,https://api.spotify.com/v1/audio-analysis/1gAMAqRcm2AcC8utaYUIDf,0.385,178519.0,0.928,1gAMAqRcm2AcC8utaYUIDf,0.00128,5.0,0.333,-3.674,0.0,0.24,157.156,4.0,https://api.spotify.com/v1/tracks/1gAMAqRcm2AcC8utaYUIDf,audio_features,spotify:track:1gAMAqRcm2AcC8utaYUIDf,0.0903
65,,0.0158,https://api.spotify.com/v1/audio-analysis/1QCiLH1rsWx2Qum6CfGwpQ,0.455,167200.0,0.903,1QCiLH1rsWx2Qum6CfGwpQ,1.08e-05,11.0,0.653,-4.56,0.0,0.0649,149.975,4.0,https://api.spotify.com/v1/tracks/1QCiLH1rsWx2Qum6CfGwpQ,audio_features,spotify:track:1QCiLH1rsWx2Qum6CfGwpQ,0.134
66,,0.0228,https://api.spotify.com/v1/audio-analysis/1ty4TSjK2sTIDsa4BTdlvh,0.286,167994.0,0.902,1ty4TSjK2sTIDsa4BTdlvh,0.655,5.0,0.346,-3.514,0.0,0.0378,150.032,4.0,https://api.spotify.com/v1/tracks/1ty4TSjK2sTIDsa4BTdlvh,audio_features,spotify:track:1ty4TSjK2sTIDsa4BTdlvh,0.164
67,,0.00102,https://api.spotify.com/v1/audio-analysis/5lrgLVPslHxH6DLgG9gmEv,0.421,213500.0,0.961,5lrgLVPslHxH6DLgG9gmEv,0.124,5.0,0.94,-3.727,0.0,0.147,74.935,4.0,https://api.spotify.com/v1/tracks/5lrgLVPslHxH6DLgG9gmEv,audio_features,spotify:track:5lrgLVPslHxH6DLgG9gmEv,0.192
68,,0.0999,https://api.spotify.com/v1/audio-analysis/1bgG0uJmFQPH3MAcDHthQj,0.541,156000.0,0.953,1bgG0uJmFQPH3MAcDHthQj,0.229,10.0,0.708,-2.983,0.0,0.0363,101.496,3.0,https://api.spotify.com/v1/tracks/1bgG0uJmFQPH3MAcDHthQj,audio_features,spotify:track:1bgG0uJmFQPH3MAcDHthQj,0.0346
