,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
45,,0.00153,https://api.spotify.com/v1/audio-analysis/7q88QfUpZr9nJNE0iDQgRT,0.397,244208.0,0.961,7q88QfUpZr9nJNE0iDQgRT,0.241,2.0,0.104,-1.193,1.0,0.27,79.961,4.0,https://api.spotify.com/v1/tracks/7q88QfUpZr9nJNE0iDQgRT,audio_features,spotify:track:7q88QfUpZr9nJNE0iDQgRT,0.192
46,,0.00418,https://api.spotify.com/v1/audio-analysis/4R2QB35YN08rwmlgbByGaS,0.654,279844.0,0.918,4R2QB35YN08rwmlgbByGaS,0.00164,1.0,0.0878,-4.062,1.0,0.0888,128.057,4.0,https://api.spotify.com/v1/tracks/4R2QB35YN08rwmlgbByGaS,audio_features,spotify:track:4R2QB35YN08rwmlgbByGaS,0.47
47,,0.0173,https://api.spotify.com/v1/audio-analysis/45kWM9Nhe9jdfOHi29xSM7,0.491,235200.0,0.893,45kWM9Nhe9jdfOHi29xSM7,9.91e-05,1.0,0.161,-5.491,1.0,0.211,150.087,4.0,https://api.spotify.com/v1/tracks/45kWM9Nhe9jdfOHi29xSM7,audio_features,spotify:track:45kWM9Nhe9jdfOHi29xSM7,0.406
48,,0.0171,https://api.spotify.com/v1/audio-analysis/02qhH1lM7cnv21869kWW06,0.474,318537.0,0.692,02qhH1lM7cnv21869kWW06,1.83e-05,6.0,0.138,-5.776,0.0,0.033,139.884,4.0,https://api.spotify.com/v1/tracks/02qhH1lM7cnv21869kWW06,audio_features,spotify:track:02qhH1lM7cnv21869kWW06,0.492
49,,0.153,https://api.spotify.com/v1/audio-analysis/6O1QrMswFg1AjWm9hllKY5,0.455,283952.0,0.933,6O1QrMswFg1AjWm9hllKY5,0.00885,7.0,0.112,-5.288,0.0,0.199,139.874,4.0,https://api.spotify.com/v1/tracks/6O1QrMswFg1AjWm9hllKY5,audio_features,spotify:track:6O1QrMswFg1AjWm9hllKY5,0.176
50,,0.0301,https://api.spotify.com/v1/audio-analysis/0t0h9bDvqnnKbrpLZDNhmU,0.679,233531.0,0.468,0t0h9bDvqnnKbrpLZDNhmU,0.00338,1.0,0.699,-14.489,1.0,0.569,140.014,4.0,https://api.spotify.com/v1/tracks/0t0h9bDvqnnKbrpLZDNhmU,audio_features,spotify:track:0t0h9bDvqnnKbrpLZDNhmU,0.333
51,,0.000469,https://api.spotify.com/v1/audio-analysis/4z84urPObMg3QaQfMmwcJx,0.609,160000.0,0.951,4z84urPObMg3QaQfMmwcJx,0.0201,10.0,0.393,-3.448,0.0,0.086,150.042,4.0,https://api.spotify.com/v1/tracks/4z84urPObMg3QaQfMmwcJx,audio_features,spotify:track:4z84urPObMg3QaQfMmwcJx,0.258
52,,0.752,https://api.spotify.com/v1/audio-analysis/54UXvy9zpgkDOMioXEyWWc,0.722,178625.0,0.875,54UXvy9zpgkDOMioXEyWWc,0.955,5.0,0.0976,-10.3,0.0,0.0427,125.009,4.0,https://api.spotify.com/v1/tracks/54UXvy9zpgkDOMioXEyWWc,audio_features,spotify:track:54UXvy9zpgkDOMioXEyWWc,0.175
53,,0.0304,https://api.spotify.com/v1/audio-analysis/4nDLC2QzHrgns5hEiIfdTI,0.712,275143.0,0.349,4nDLC2QzHrgns5hEiIfdTI,0.91,1.0,0.13,-12.885,1.0,0.0465,140.02,4.0,https://api.spotify.com/v1/tracks/4nDLC2QzHrgns5hEiIfdTI,audio_features,spotify:track:4nDLC2QzHrgns5hEiIfdTI,0.142
54,,0.0306,https://api.spotify.com/v1/audio-analysis/13XkIRjCE3LYofZe28WQa0,0.568,204800.0,0.988,13XkIRjCE3LYofZe28WQa0,0.731,10.0,0.14,-2.104,0.0,0.0916,150.02,4.0,https://api.spotify.com/v1/tracks/13XkIRjCE3LYofZe28WQa0,audio_features,spotify:track:13XkIRjCE3LYofZe28WQa0,0.244
55,,0.00184,https://api.spotify.com/v1/audio-analysis/0eq4dBI0Z0Jbvz4DxO7SuE,0.31,245387.0,0.718,0eq4dBI0Z0Jbvz4DxO7SuE,0.896,9.0,0.141,-7.49,0.0,0.0376,145.015,4.0,https://api.spotify.com/v1/tracks/0eq4dBI0Z0Jbvz4DxO7SuE,audio_features,spotify:track:0eq4dBI0Z0Jbvz4DxO7SuE,0.198
56,,0.766,https://api.spotify.com/v1/audio-analysis/56A9h2y7b6n8j0bSFHz8MY,0.516,286328.0,0.459,56A9h2y7b6n8j0bSFHz8MY,3e-05,6.0,0.11,-9.946,0.0,0.0612,140.007,4.0,https://api.spotify.com/v1/tracks/56A9h2y7b6n8j0bSFHz8MY,audio_features,spotify:track:56A9h2y7b6n8j0bSFHz8MY,0.0879
57,,0.032,https://api.spotify.com/v1/audio-analysis/4yJOHQlel6i9AvnlkodkUj,0.678,332571.0,0.403,4yJOHQlel6i9AvnlkodkUj,0.619,0.0,0.112,-12.498,1.0,0.188,110.048,3.0,https://api.spotify.com/v1/tracks/4yJOHQlel6i9AvnlkodkUj,audio_features,spotify:track:4yJOHQlel6i9AvnlkodkUj,0.0342
58,,0.0017,https://api.spotify.com/v1/audio-analysis/6oBdOfVHud4zjh4QJZvHdw,0.613,275200.0,0.944,6oBdOfVHud4zjh4QJZvHdw,0.821,8.0,0.367,-3.636,1.0,0.0621,149.809,4.0,https://api.spotify.com/v1/tracks/6oBdOfVHud4zjh4QJZvHdw,audio_features,spotify:track:6oBdOfVHud4zjh4QJZvHdw,0.0352
59,,0.00514,https://api.spotify.com/v1/audio-analysis/3BZ21WrMi80Xhn9xGF3oP4,0.45,245946.0,0.949,3BZ21WrMi80Xhn9xGF3oP4,0.000257,8.0,0.0746,-3.111,0.0,0.0919,128.003,4.0,https://api.spotify.com/v1/tracks/3BZ21WrMi80Xhn9xGF3oP4,audio_features,spotify:track:3BZ21WrMi80Xhn9xGF3oP4,0.546
60,,0.0366,https://api.spotify.com/v1/audio-analysis/6EEAeLNnZmkVzPcwfcMocF,0.563,233947.0,0.749,6EEAeLNnZmkVzPcwfcMocF,0.0,8.0,0.03,-6.263,1.0,0.165,74.999,4.0,https://api.spotify.com/v1/tracks/6EEAeLNnZmkVzPcwfcMocF,audio_features,spotify:track:6EEAeLNnZmkVzPcwfcMocF,0.815
61,,0.00194,https://api.spotify.com/v1/audio-analysis/0YF81kBOmdSzQlxjao3kj5,0.672,202909.0,0.907,0YF81kBOmdSzQlxjao3kj5,0.0466,6.0,0.0995,-4.697,0.0,0.0389,110.011,4.0,https://api.spotify.com/v1/tracks/0YF81kBOmdSzQlxjao3kj5,audio_features,spotify:track:0YF81kBOmdSzQlxjao3kj5,0.591
62,,0.00266,https://api.spotify.com/v1/audio-analysis/3qT5T9yZxwq7wMQsbBcVLH,0.537,189173.0,0.945,3qT5T9yZxwq7wMQsbBcVLH,1.34e-05,10.0,0.805,-2.437,1.0,0.188,127.115,4.0,https://api.spotify.com/v1/tracks/3qT5T9yZxwq7wMQsbBcVLH,audio_features,spotify:track:3qT5T9yZxwq7wMQsbBcVLH,0.33
63,,0.195,https://api.spotify.com/v1/audio-analysis/6mrw2FjNS6Y0M86881kKJL,0.644,214408.0,0.881,6mrw2FjNS6Y0M86881kKJL,0.0137,8.0,0.119,-1.527,1.0,0.473,150.262,4.0,https://api.spotify.com/v1/tracks/6mrw2FjNS6Y0M86881kKJL,audio_features,spotify:track:6mrw2FjNS6Y0M86881kKJL,0.116
64,,0.0061,https://api.spotify.com/v1/audio-analysis/4SjDTi4jgExdd0QWJQdJSI,0.58,265600.0,0.81,4SjDTi4jgExdd0QWJQdJSI,1.13e-05,6.0,0.301,-2.366,0.0,0.0603,150.082,4.0,https://api.spotify.com/v1/tracks/4SjDTi4jgExdd0QWJQdJSI,audio_features,spotify:track:4SjDTi4jgExdd0QWJQdJSI,0.148
65,,0.167,https://api.spotify.com/v1/audio-analysis/2yox08l4o0FnOL8Ih4yEfM,0.629,181935.0,0.882,2yox08l4o0FnOL8Ih4yEfM,0.711,0.0,0.0693,-3.458,0.0,0.0312,123.973,4.0,https://api.spotify.com/v1/tracks/2yox08l4o0FnOL8Ih4yEfM,audio_features,spotify:track:2yox08l4o0FnOL8Ih4yEfM,0.324
66,,0.00443,https://api.spotify.com/v1/audio-analysis/3DYH3KyTqMJmbtCCP8lmjo,0.392,246857.0,0.939,3DYH3KyTqMJmbtCCP8lmjo,0.0616,1.0,0.132,-1.623,1.0,0.489,175.015,4.0,https://api.spotify.com/v1/tracks/3DYH3KyTqMJmbtCCP8lmjo,audio_features,spotify:track:3DYH3KyTqMJmbtCCP8lmjo,0.181
67,,0.00108,https://api.spotify.com/v1/audio-analysis/5WSL7UTa38jMWoBzObD4BD,0.524,305786.0,0.601,5WSL7UTa38jMWoBzObD4BD,0.601,0.0,0.398,-13.399,0.0,0.0335,139.972,4.0,https://api.spotify.com/v1/tracks/5WSL7UTa38jMWoBzObD4BD,audio_features,spotify:track:5WSL7UTa38jMWoBzObD4BD,0.314
68,,0.0157,https://api.spotify.com/v1/audio-analysis/6PUIzlqotEmPuBfjbwYWOB,0.572,214912.0,0.81,6PUIzlqotEmPuBfjbwYWOB,6.53e-06,1.0,0.13,-5.791,0.0,0.0558,126.052,4.0,https://api.spotify.com/v1/tracks/6PUIzlqotEmPuBfjbwYWOB,audio_features,spotify:track:6PUIzlqotEmPuBfjbwYWOB,0.11
69,,0.0151,https://api.spotify.com/v1/audio-analysis/4gpKdwSyeN8MSsKa6FY4Qf,0.575,140202.0,0.948,4gpKdwSyeN8MSsKa6FY4Qf,1.37e-05,11.0,0.111,-3.161,0.0,0.347,150.256,4.0,https://api.spotify.com/v1/tracks/4gpKdwSyeN8MSsKa6FY4Qf,audio_features,spotify:track:4gpKdwSyeN8MSsKa6FY4Qf,0.552
